OBJECTID,tmc,speed_limit
1149,129-08178,25
1150,129N08174,40
1151,129N10444,35
1152,129N08172,30
1153,129N08155,45
1154,129N08171,45
1155,129-08171,30
1156,129-08179,30
1157,129-08175,35
1158,129N08178,25
1159,129N08181,30
1160,129-08177,35
1161,129+05703,40
1162,129P06316,25
1163,129+05684,35
1164,129+05708,30
1165,129+05690,40
1166,129+05696,30
1167,129+06318,35
1168,129P05680,25
1169,129+06316,25
1170,129P08741,30
1171,129+05705,35
1172,129P05698,30
1173,129+05697,35
1174,129P05710,35
1175,129+05680,45
1176,129+08741,40
1177,129+05691,40
1178,129+06317,35
1179,129+05693,40
1180,129P05707,25
1181,129P05679,45
1182,129+05699,30
1183,129+05702,40
1184,129+05686,40
1185,129+05685,40
1186,129+05689,40
1187,129+05695,30
1188,129+05687,35
1189,129+05709,35
1190,129+05682,40
1191,129+08740,35
1192,129+05692,55
1193,129P05690,25
1194,129P05706,35
1195,129+08742,40
1196,129P05693,40
1197,129+05707,30
1198,129+05701,25
1199,129P05692,40
1200,129+06315,40
1201,129+05688,35
1202,129+05694,30
1203,129P05701,25
1204,129+05698,30
1205,129+05704,40
1206,129+05710,30
1207,129+05700,35
1208,129+05683,35
1209,129+05706,35
1210,129+05681,30
1211,129P05686,25
1212,129P08740,30
1213,129-05684,35
1214,129-05704,35
1215,129-08740,40
1216,129-05701,40
1217,129-05685,40
1218,129-05692,40
1219,129-05691,55
1220,129-05699,35
1221,129N05693,40
1222,129-05702,40
1223,129-05688,40
1224,129-05710,35
1225,129N05701,25
1226,129-05708,35
1227,129-05681,40
1228,129-05694,30
1229,129N08741,30
1230,129-05687,35
1231,129N05680,25
1232,129N05706,35
1233,129N05692,40
1234,129N05686,25
1235,129-05703,40
1236,129-05693,30
1237,129N08740,30
1238,129-05686,35
1239,129-05695,30
1240,129-06316,40
1241,129N05710,35
1242,129N05690,25
1243,129N05698,30
1244,129-05682,35
1245,129-05697,30
1246,129-06315,25
1247,129-05689,40
1248,129-06317,40
1249,129-08741,40
1250,129-05700,35
1251,129-05709,30
1252,129-05706,30
1253,129-05705,35
1254,129N05679,45
1255,129-05680,30
1256,129-05707,30
1257,129-05679,45
1258,129N06316,25
1259,129-05696,35
1260,129-05690,40
1261,129-05683,35
1262,129N05707,30
1263,129-05698,30
1264,129-06318,25
1265,129+06484,40
1266,129P05813,30
1267,129P06484,40
1268,129+06490,30
1269,129+06483,40
1270,129+05816,30
1271,129+05814,35
1272,129P05818,45
1273,129P16093,30
1274,129+06485,40
1275,129P05815,35
1276,129P05816,30
1277,129+16092,35
1278,129+05818,40
1279,129+06480,30
1280,129+16093,30
1281,129+05815,35
1282,129+06481,40
1283,129+05817,30
1284,129P05817,40
1285,129+06482,30
1286,129P05814,35
1287,129P06480,30
1288,129-06481,30
1289,129-05817,30
1290,129-05814,35
1291,129-05813,35
1292,129N05814,35
1293,129-06485,45
1294,129N05817,40
1295,129-06483,40
1296,129-06490,35
1297,129-16093,30
1298,129-06480,35
1299,129N06484,40
1300,129N06490,35
1301,129-16092,30
1302,129N05818,45
1303,129N05815,35
1304,129N05816,25
1305,129-05816,40
1306,129-06482,35
1307,129-06484,40
1308,129-05815,35
1309,129+05580,35
1310,129+05579,25
1311,129+05581,35
1312,129+05575,45
1313,129P06479,30
1314,129+05572,30
1315,129P05574,45
1316,129P05577,30
1317,129P05576,45
1318,129+05578,20
1319,129+06477,30
1320,129+05573,30
1321,129+06473,30
1322,129+05576,45
1323,129P06478,25
1324,129+05577,30
1325,129+05574,30
1326,129+06479,30
1327,129+06476,45
1328,129+05811,30
1329,129P06477,30
1330,129+05583,30
1331,129+06478,25
1332,129+05582,30
1333,129+06474,35
1334,129+06475,50
1335,129P05582,30
1336,129-05572,40
1337,129-05579,30
1338,129-05577,20
1339,129-05571,40
1340,129-05573,35
1341,129-06476,40
1342,129-05581,30
1343,129-06475,45
1344,129N05574,45
1345,129-05574,50
1346,129-05578,30
1347,129N06479,30
1348,129-06477,20
1349,129-06478,30
1350,129N05579,30
1351,129N05577,20
1352,129-05582,30
1353,129-05575,40
1354,129N05578,30
1355,129-06479,30
1356,129-05583,30
1357,129-06474,30
1358,129-05580,30
1359,129-05576,30
1360,129N06477,20
1361,129N05576,35
1362,129-09078,40
1363,129N09075,35
1364,129+15397,40
1365,129-09077,30
1366,129N09073,25
1367,129N09078,45
1368,129-09075,35
1369,129-09076,30
1370,129-09073,35
1371,129N09077,30
1372,129P15397,40
1373,129N09074,35
1374,129-09079,40
1375,129-09074,35
1376,129+09075,35
1377,129+09076,35
1378,129P09074,25
1379,129+09074,35
1380,129P09078,45
1381,129P09077,30
1382,129+09079,40
1383,129+09077,30
1384,129P09075,35
1385,129+09078,30
1386,129P09073,25
1387,129+09080,40
1388,129-09086,35
1389,129N04752,25
1390,129-04748,45
1391,129P15396,40
1392,129-04751,40
1393,129-04746,45
1394,129N05824,40
1395,129-09087,45
1396,129N04751,40
1397,129-04750,45
1398,129N09086,25
1399,129-04749,45
1400,129-05823,45
1401,129N05823,25
1402,129N09087,40
1403,129-05824,45
1404,129-06336,40
1405,129N04750,45
1406,129-04747,45
1407,C-165-21,45
1408,129N04747,45
1409,129+04748,45
1410,129+04750,45
1411,129N15396,40
1412,129P05823,25
1413,129+04749,45
1414,129+09087,35
1415,129+05824,40
1416,129+04747,45
1417,129P04751,40
1418,129+04751,45
1419,129P04750,45
1420,129+06337,45
1421,129P09086,25
1422,129+06336,45
1423,129+04752,40
1424,129P09087,40
1425,129P04747,45
1426,129P05824,40
1427,129+09088,45
1428,C-166-10,25
1429,129+08832,45
1430,129+08843,30
