tmc,speed_limit
129+08962,35
129+08960,40
129+08945,20
129+08946,25
129+08963,35
129+08961,35
129+08955,35
129+08957,30
129+08950,30
129+08941,30
129+08956,40
129+08951,35
129P08960,40
129+08942,35
129+08953,40
129+08964,25
129P08961,35
129P08955,40
129P08956,40
129+08952,40
129P08951,30
129+08944,25
129+08958,30
129+08959,30
129P08959,25
129+08947,25
129+08948,35
129P08947,45
129P08964,25
129+08949,35
129+08943,30
129-08943,25
129-08958,30
129-08941,35
129-08957,30
129-08953,40
129-08950,35
129-08960,35
129-08959,40
129-08947,35
129-08952,40
129-08945,25
129-08951,40
129N08960,40
129N08955,40
129N08964,25
129-08942,30
129-08944,20
129-08949,30
129-08954,35
129N08956,40
129-08961,35
129-08940,30
129-08948,35
129-08963,25
129-08946,25
129-08956,30
129-08955,40
129N08947,45
129N08959,25
129N08951,30
129-08962,35
129N08961,35
129P08938,30
129+08926,30
129+08929,25
129+08927,40
129P08940,40
129P08923,40
129+08938,40
129+08935,30
129+08941,30
129+08937,30
129+08928,35
129+08940,25
129+08932,35
129+08936,25
129P08934,35
129+08924,50
129+08925,40
129+08930,25
129P08928,35
129+08934,35
129+08933,30
129+08939,30
129+08931,35
129P08924,30
129P08936,20
129P08929,25
129-08937,40
129-08931,35
129-08923,50
129-08928,25
129-08935,25
129N08928,35
129-08927,35
129N08938,30
129N08923,40
129N08936,20
129N08929,25
129-08930,35
129-08933,35
129N08924,30
129N08934,35
129-08938,30
129-08929,25
129-08926,40
129-08940,30
129-08936,30
129-08925,30
129-08932,30
129-08924,40
129N08940,40
129-08939,25
129-08934,30
129+08903,40
129+08901,35
129P08908,30
129P08910,25
129P08902,35
129+08902,40
129+07619,30
129+08907,35
129+08900,40
129+08905,40
129+08910,40
129+08909,30
129+08906,30
129P07619,40
129P07618,30
129P08907,40
129+08908,30
129+08904,30
129-07618,30
129-08904,40
129N08907,40
129-08909,40
129N07618,30
129-08906,35
129-08907,30
129N08908,30
129-08908,30
129-08903,30
129-07619,40
129-08901,40
129N07619,40
129N08902,35
129-08905,30
129-08900,35
129-08902,40
129+04829,45
129+04834,50
129+04853,30
